Residence,Region,Sub-Region,Period,Conference
Unstated,,,2011-01,0
France,Europe,,2011-01,22
Germany,Europe,,2011-01,46
Italy,Europe,,2011-01,26
Netherlands,Europe,,2011-01,11
Switzerland,Europe,,2011-01,5
Spain,Europe,,2011-01,6
United Kingdom,Europe,,2011-01,49
Belgium,Europe,,2011-01,8
Austria,Europe,,2011-01,2
Sweden,Europe,,2011-01,11
Russian Federation,Europe,,2011-01,11
"Others, Europe",Europe,,2011-01,21
Australia,Oceania,,2011-01,92
New Zealand,Oceania,,2011-01,15
"Others, Oceania",Oceania,,2011-01,5
S. Africa,Africa,,2011-01,0
Greece,Europe,,2011-01,0
"Others, America",America,,2011-01,15
"Others, Africa",Africa,,2011-01,15
Brazil,America,,2011-01,1
Argentina,America,,2011-01,1
HongKong. Macao,Asia,,2011-01,614
Mainland China,Asia,,2011-01,1322
Japan,Asia,,2011-01,543
"Korea,Republic of",Asia,,2011-01,275
Middle East,Asia,,2011-01,9
Malaysia,Asia,Southeast Asia,2011-01,251
Singapore,Asia,Southeast Asia,2011-01,242
India,Asia,,2011-01,134
Philippines,Asia,Southeast Asia,2011-01,81
Thailand,Asia,Southeast Asia,2011-01,41
"Others, Southeast Asia",Asia,Southeast Asia,2011-01,19
"Others, Asia",Asia,,2011-01,15
Canada,America,,2011-01,48
United States of America,America,,2011-01,259
Mexico,America,,2011-01,7
Indonesia,Asia,Southeast Asia,2011-01,41
"Others, Southeast Asia",Asia,Southeast Asia,2011-02,34
Brazil,America,,2011-02,0
Mexico,America,,2011-02,0
United States of America,America,,2011-02,241
Canada,America,,2011-02,43
"Others, Asia",Asia,,2011-02,21
Thailand,Asia,Southeast Asia,2011-02,51
Japan,Asia,,2011-02,529
Indonesia,Asia,Southeast Asia,2011-02,46
Singapore,Asia,Southeast Asia,2011-02,184
Malaysia,Asia,Southeast Asia,2011-02,197
Middle East,Asia,,2011-02,14
India,Asia,,2011-02,60
"Korea,Republic of",Asia,,2011-02,277
Argentina,America,,2011-02,2
Philippines,Asia,Southeast Asia,2011-02,126
"Others, America",America,,2011-02,22
Austria,Europe,,2011-02,3
France,Europe,,2011-02,37
Mainland China,Asia,,2011-02,1345
Unstated,,,2011-02,0
S. Africa,Africa,,2011-02,2
"Others, Oceania",Oceania,,2011-02,0
New Zealand,Oceania,,2011-02,10
Australia,Oceania,,2011-02,97
"Others, Europe",Europe,,2011-02,22
Belgium,Europe,,2011-02,0
Russian Federation,Europe,,2011-02,12
Greece,Europe,,2011-02,0
United Kingdom,Europe,,2011-02,41
Spain,Europe,,2011-02,7
Switzerland,Europe,,2011-02,6
Netherlands,Europe,,2011-02,8
Italy,Europe,,2011-02,17
Germany,Europe,,2011-02,33
Sweden,Europe,,2011-02,26
HongKong. Macao,Asia,,2011-02,375
"Others, Africa",Africa,,2011-02,11
Unstated,,,2011-03,0
Mexico,America,,2011-03,10
United States of America,America,,2011-03,504
Canada,America,,2011-03,105
"Others, Asia",Asia,,2011-03,46
"Others, Southeast Asia",Asia,Southeast Asia,2011-03,86
Thailand,Asia,Southeast Asia,2011-03,190
Philippines,Asia,Southeast Asia,2011-03,245
Indonesia,Asia,Southeast Asia,2011-03,112
Singapore,Asia,Southeast Asia,2011-03,405
Malaysia,Asia,Southeast Asia,2011-03,355
Middle East,Asia,,2011-03,32
India,Asia,,2011-03,180
"Korea,Republic of",Asia,,2011-03,385
Japan,Asia,,2011-03,780
Mainland China,Asia,,2011-03,1487
