Residence,Region,Sub-Region,Period,Business
Unstated,,,2011-01,1
France,Europe,,2011-01,1003
Germany,Europe,,2011-01,1835
Italy,Europe,,2011-01,517
Netherlands,Europe,,2011-01,531
Switzerland,Europe,,2011-01,228
Spain,Europe,,2011-01,160
United Kingdom,Europe,,2011-01,1512
Belgium,Europe,,2011-01,135
Austria,Europe,,2011-01,170
Sweden,Europe,,2011-01,283
Russian Federation,Europe,,2011-01,159
"Others, Europe",Europe,,2011-01,807
Australia,Oceania,,2011-01,836
New Zealand,Oceania,,2011-01,168
"Others, Oceania",Oceania,,2011-01,7
S. Africa,Africa,,2011-01,209
Greece,Europe,,2011-01,32
"Others, America",America,,2011-01,101
"Others, Africa",Africa,,2011-01,132
Brazil,America,,2011-01,99
Argentina,America,,2011-01,11
HongKong. Macao,Asia,,2011-01,5936
Mainland China,Asia,,2011-01,6554
Japan,Asia,,2011-01,23831
"Korea,Republic of",Asia,,2011-01,5280
Middle East,Asia,,2011-01,609
Malaysia,Asia,Southeast Asia,2011-01,1931
Singapore,Asia,Southeast Asia,2011-01,3778
India,Asia,,2011-01,1077
Philippines,Asia,Southeast Asia,2011-01,2405
Thailand,Asia,Southeast Asia,2011-01,1653
"Others, Southeast Asia",Asia,Southeast Asia,2011-01,814
"Others, Asia",Asia,,2011-01,507
Canada,America,,2011-01,1124
United States of America,America,,2011-01,10633
Mexico,America,,2011-01,48
Indonesia,Asia,Southeast Asia,2011-01,1168
"Others, Southeast Asia",Asia,Southeast Asia,2011-02,1277
Brazil,America,,2011-02,95
Mexico,America,,2011-02,45
United States of America,America,,2011-02,9385
Canada,America,,2011-02,1195
"Others, Asia",Asia,,2011-02,439
Thailand,Asia,Southeast Asia,2011-02,2072
Japan,Asia,,2011-02,23174
Indonesia,Asia,Southeast Asia,2011-02,1079
Singapore,Asia,Southeast Asia,2011-02,2977
Malaysia,Asia,Southeast Asia,2011-02,1991
Middle East,Asia,,2011-02,558
India,Asia,,2011-02,999
"Korea,Republic of",Asia,,2011-02,4372
Argentina,America,,2011-02,15
Philippines,Asia,Southeast Asia,2011-02,1490
"Others, America",America,,2011-02,88
Austria,Europe,,2011-02,149
France,Europe,,2011-02,826
Mainland China,Asia,,2011-02,6052
Unstated,,,2011-02,3
S. Africa,Africa,,2011-02,279
"Others, Oceania",Oceania,,2011-02,13
New Zealand,Oceania,,2011-02,190
Australia,Oceania,,2011-02,949
"Others, Europe",Europe,,2011-02,761
Belgium,Europe,,2011-02,139
Russian Federation,Europe,,2011-02,211
Greece,Europe,,2011-02,50
United Kingdom,Europe,,2011-02,1430
Spain,Europe,,2011-02,162
Switzerland,Europe,,2011-02,284
Netherlands,Europe,,2011-02,494
Italy,Europe,,2011-02,514
Germany,Europe,,2011-02,1869
Sweden,Europe,,2011-02,310
HongKong. Macao,Asia,,2011-02,4722
"Others, Africa",Africa,,2011-02,87
Unstated,,,2011-03,1
Mexico,America,,2011-03,103
United States of America,America,,2011-03,12587
Canada,America,,2011-03,1285
"Others, Asia",Asia,,2011-03,465
"Others, Southeast Asia",Asia,Southeast Asia,2011-03,982
Thailand,Asia,Southeast Asia,2011-03,2186
Philippines,Asia,Southeast Asia,2011-03,1237
Indonesia,Asia,Southeast Asia,2011-03,1060
Singapore,Asia,Southeast Asia,2011-03,4341
Malaysia,Asia,Southeast Asia,2011-03,2313
Middle East,Asia,,2011-03,889
India,Asia,,2011-03,1390
"Korea,Republic of",Asia,,2011-03,6434
Japan,Asia,,2011-03,24442
Mainland China,Asia,,2011-03,9531
Brazil,America,,2011-03,258
Argentina,America,,2011-03,50
HongKong. Macao,Asia,,2011-03,6908
Belgium,Europe,,2011-03,251
"Others, America",America,,2011-03,212
S. Africa,Africa,,2011-03,211
"Others, Oceania",Oceania,,2011-03,18
New Zealand,Oceania,,2011-03,239
Australia,Oceania,,2011-03,1513
"Others, Europe",Europe,,2011-03,1260
Russian Federation,Europe,,2011-03,272
Sweden,Europe,,2011-03,437
"Others, Africa",Africa,,2011-03,152
Austria,Europe,,2011-03,245
United Kingdom,Europe,,2011-03,2026
Spain,Europe,,2011-03,339
Switzerland,Europe,,2011-03,395
Netherlands,Europe,,2011-03,784
Italy,Europe,,2011-03,1013
Germany,Europe,,2011-03,2471
Greece,Europe,,2011-03,41
France,Europe,,2011-03,1327
Spain,Europe,,2011-04,187
United Kingdom,Europe,,2011-04,1412
Austria,Europe,,2011-04,161
Greece,Europe,,2011-04,40
Sweden,Europe,,2011-04,297
Russian Federation,Europe,,2011-04,331
"Others, Oceania",Oceania,,2011-04,13
Australia,Oceania,,2011-04,1177
New Zealand,Oceania,,2011-04,242
Switzerland,Europe,,2011-04,276
S. Africa,Africa,,2011-04,201
"Others, Africa",Africa,,2011-04,222
Unstated,,,2011-04,1
Japan,Asia,,2011-04,24029
Mainland China,Asia,,2011-04,11005
"Others, Europe",Europe,,2011-04,899
Netherlands,Europe,,2011-04,555
Belgium,Europe,,2011-04,151
Germany,Europe,,2011-04,1882
HongKong. Macao,Asia,,2011-04,5699
Middle East,Asia,,2011-04,853
Malaysia,Asia,Southeast Asia,2011-04,2272
Singapore,Asia,Southeast Asia,2011-04,3938
Indonesia,Asia,Southeast Asia,2011-04,1207
Philippines,Asia,Southeast Asia,2011-04,1693
Thailand,Asia,Southeast Asia,2011-04,2330
"Others, Southeast Asia",Asia,Southeast Asia,2011-04,1082
"Others, Asia",Asia,,2011-04,290
Canada,America,,2011-04,1075
Mexico,America,,2011-04,92
Brazil,America,,2011-04,197
Argentina,America,,2011-04,35
"Others, America",America,,2011-04,240
France,Europe,,2011-04,866
Italy,Europe,,2011-04,555
United States of America,America,,2011-04,11013
"Korea,Republic of",Asia,,2011-04,5796
India,Asia,,2011-04,1219
Middle East,Asia,,2011-05,1007
Belgium,Europe,,2011-05,197
"Others, America",America,,2011-05,207
Argentina,America,,2011-05,52
Brazil,America,,2011-05,240
Mexico,America,,2011-05,89
United States of America,America,,2011-05,12077
Canada,America,,2011-05,1126
"Others, Asia",Asia,,2011-05,314
"Others, Southeast Asia",Asia,Southeast Asia,2011-05,971
Thailand,Asia,Southeast Asia,2011-05,1863
Philippines,Asia,Southeast Asia,2011-05,1546
Indonesia,Asia,Southeast Asia,2011-05,1129
Singapore,Asia,Southeast Asia,2011-05,4153
France,Europe,,2011-05,1228
Germany,Europe,,2011-05,2472
Italy,Europe,,2011-05,688
Netherlands,Europe,,2011-05,603
Unstated,,,2011-05,2
"Others, Africa",Africa,,2011-05,194
S. Africa,Africa,,2011-05,190
"Others, Oceania",Oceania,,2011-05,28
New Zealand,Oceania,,2011-05,259
Australia,Oceania,,2011-05,1246
Malaysia,Asia,Southeast Asia,2011-05,2189
"Others, Europe",Europe,,2011-05,1083
Sweden,Europe,,2011-05,332
Greece,Europe,,2011-05,41
Austria,Europe,,2011-05,223
United Kingdom,Europe,,2011-05,1759
Spain,Europe,,2011-05,254
Switzerland,Europe,,2011-05,335
Russian Federation,Europe,,2011-05,310
India,Asia,,2011-05,1298
"Korea,Republic of",Asia,,2011-05,5680
Japan,Asia,,2011-05,24481
Mainland China,Asia,,2011-05,12990
HongKong. Macao,Asia,,2011-05,6467
S. Africa,Africa,,2011-06,118
Canada,America,,2011-06,974
"Others, Asia",Asia,,2011-06,228
"Others, Southeast Asia",Asia,Southeast Asia,2011-06,1007
Thailand,Asia,Southeast Asia,2011-06,2025
Philippines,Asia,Southeast Asia,2011-06,1537
Indonesia,Asia,Southeast Asia,2011-06,1236
Singapore,Asia,Southeast Asia,2011-06,3997
Middle East,Asia,,2011-06,804
United States of America,America,,2011-06,10449
India,Asia,,2011-06,1086
"Korea,Republic of",Asia,,2011-06,5799
Japan,Asia,,2011-06,27038
Mainland China,Asia,,2011-06,12270
HongKong. Macao,Asia,,2011-06,6527
Malaysia,Asia,Southeast Asia,2011-06,2252
