Residence,Region,Sub-Region,Period,Exhibition
Unstated,,,2011-01,0
France,Europe,,2011-01,0
Germany,Europe,,2011-01,0
Italy,Europe,,2011-01,0
Netherlands,Europe,,2011-01,0
Switzerland,Europe,,2011-01,0
Spain,Europe,,2011-01,0
United Kingdom,Europe,,2011-01,0
Belgium,Europe,,2011-01,0
Austria,Europe,,2011-01,0
Sweden,Europe,,2011-01,0
Russian Federation,Europe,,2011-01,0
"Others, Europe",Europe,,2011-01,0
Australia,Oceania,,2011-01,0
New Zealand,Oceania,,2011-01,0
"Others, Oceania",Oceania,,2011-01,0
S. Africa,Africa,,2011-01,0
Greece,Europe,,2011-01,0
"Others, America",America,,2011-01,0
"Others, Africa",Africa,,2011-01,0
Brazil,America,,2011-01,0
Argentina,America,,2011-01,0
HongKong. Macao,Asia,,2011-01,0
Mainland China,Asia,,2011-01,0
Japan,Asia,,2011-01,0
"Korea,Republic of",Asia,,2011-01,0
Middle East,Asia,,2011-01,0
Malaysia,Asia,Southeast Asia,2011-01,0
Singapore,Asia,Southeast Asia,2011-01,0
India,Asia,,2011-01,0
Philippines,Asia,Southeast Asia,2011-01,0
Thailand,Asia,Southeast Asia,2011-01,0
"Others, Southeast Asia",Asia,Southeast Asia,2011-01,0
"Others, Asia",Asia,,2011-01,0
Canada,America,,2011-01,0
United States of America,America,,2011-01,0
Mexico,America,,2011-01,0
Indonesia,Asia,Southeast Asia,2011-01,0
"Others, Southeast Asia",Asia,Southeast Asia,2011-02,0
Brazil,America,,2011-02,0
Mexico,America,,2011-02,0
United States of America,America,,2011-02,0
Canada,America,,2011-02,0
"Others, Asia",Asia,,2011-02,0
Thailand,Asia,Southeast Asia,2011-02,0
Japan,Asia,,2011-02,0
Indonesia,Asia,Southeast Asia,2011-02,0
Singapore,Asia,Southeast Asia,2011-02,0
Malaysia,Asia,Southeast Asia,2011-02,0
Middle East,Asia,,2011-02,0
India,Asia,,2011-02,0
"Korea,Republic of",Asia,,2011-02,0
Argentina,America,,2011-02,0
Philippines,Asia,Southeast Asia,2011-02,0
"Others, America",America,,2011-02,0
Austria,Europe,,2011-02,0
France,Europe,,2011-02,0
Mainland China,Asia,,2011-02,0
Unstated,,,2011-02,0
S. Africa,Africa,,2011-02,0
"Others, Oceania",Oceania,,2011-02,0
New Zealand,Oceania,,2011-02,0
Australia,Oceania,,2011-02,0
"Others, Europe",Europe,,2011-02,0
Belgium,Europe,,2011-02,0
Russian Federation,Europe,,2011-02,0
Greece,Europe,,2011-02,0
United Kingdom,Europe,,2011-02,0
Spain,Europe,,2011-02,0
Switzerland,Europe,,2011-02,0
Netherlands,Europe,,2011-02,0
Italy,Europe,,2011-02,0
Germany,Europe,,2011-02,0
Sweden,Europe,,2011-02,0
HongKong. Macao,Asia,,2011-02,0
"Others, Africa",Africa,,2011-02,0
Unstated,,,2011-03,0
Mexico,America,,2011-03,0
United States of America,America,,2011-03,0
Canada,America,,2011-03,0
"Others, Asia",Asia,,2011-03,0
"Others, Southeast Asia",Asia,Southeast Asia,2011-03,0
Thailand,Asia,Southeast Asia,2011-03,0
Philippines,Asia,Southeast Asia,2011-03,0
Indonesia,Asia,Southeast Asia,2011-03,0
Singapore,Asia,Southeast Asia,2011-03,0
Malaysia,Asia,Southeast Asia,2011-03,0
Middle East,Asia,,2011-03,0
India,Asia,,2011-03,0
"Korea,Republic of",Asia,,2011-03,0
Japan,Asia,,2011-03,0
Mainland China,Asia,,2011-03,0
Brazil,America,,2011-03,0
Argentina,America,,2011-03,0
HongKong. Macao,Asia,,2011-03,0
Belgium,Europe,,2011-03,0
"Others, America",America,,2011-03,0
S. Africa,Africa,,2011-03,0
"Others, Oceania",Oceania,,2011-03,0
New Zealand,Oceania,,2011-03,0
Australia,Oceania,,2011-03,0
"Others, Europe",Europe,,2011-03,0
Russian Federation,Europe,,2011-03,0
Sweden,Europe,,2011-03,0
"Others, Africa",Africa,,2011-03,0
Austria,Europe,,2011-03,0
United Kingdom,Europe,,2011-03,0
Spain,Europe,,2011-03,0
Switzerland,Europe,,2011-03,0
Netherlands,Europe,,2011-03,0
Italy,Europe,,2011-03,0
Germany,Europe,,2011-03,0
Greece,Europe,,2011-03,0
France,Europe,,2011-03,0
Spain,Europe,,2011-04,0
United Kingdom,Europe,,2011-04,0
Austria,Europe,,2011-04,0
Greece,Europe,,2011-04,0
Sweden,Europe,,2011-04,0
Russian Federation,Europe,,2011-04,0
"Others, Oceania",Oceania,,2011-04,0
Australia,Oceania,,2011-04,0
New Zealand,Oceania,,2011-04,0
Switzerland,Europe,,2011-04,0
S. Africa,Africa,,2011-04,0
"Others, Africa",Africa,,2011-04,0
Unstated,,,2011-04,0
Japan,Asia,,2011-04,0
Mainland China,Asia,,2011-04,0
"Others, Europe",Europe,,2011-04,0
Netherlands,Europe,,2011-04,0
Belgium,Europe,,2011-04,0
Germany,Europe,,2011-04,0
HongKong. Macao,Asia,,2011-04,0
Middle East,Asia,,2011-04,0
Malaysia,Asia,Southeast Asia,2011-04,0
Singapore,Asia,Southeast Asia,2011-04,0
Indonesia,Asia,Southeast Asia,2011-04,0
Philippines,Asia,Southeast Asia,2011-04,0
Thailand,Asia,Southeast Asia,2011-04,0
"Others, Southeast Asia",Asia,Southeast Asia,2011-04,0
"Others, Asia",Asia,,2011-04,0
