Residence,Region,Sub-Region,Period,Pleasure
Unstated,,,2011-01,2
France,Europe,,2011-01,337
Germany,Europe,,2011-01,511
Italy,Europe,,2011-01,144
Netherlands,Europe,,2011-01,278
Switzerland,Europe,,2011-01,114
Spain,Europe,,2011-01,66
United Kingdom,Europe,,2011-01,1219
Belgium,Europe,,2011-01,61
Austria,Europe,,2011-01,95
Sweden,Europe,,2011-01,101
Russian Federation,Europe,,2011-01,93
"Others, Europe",Europe,,2011-01,528
Australia,Oceania,,2011-01,3035
New Zealand,Oceania,,2011-01,346
"Others, Oceania",Oceania,,2011-01,10
S. Africa,Africa,,2011-01,56
Greece,Europe,,2011-01,3
"Others, America",America,,2011-01,107
"Others, Africa",Africa,,2011-01,10
Brazil,America,,2011-01,131
Argentina,America,,2011-01,17
HongKong. Macao,Asia,,2011-01,25901
Mainland China,Asia,,2011-01,69384
Japan,Asia,,2011-01,68640
"Korea,Republic of",Asia,,2011-01,13436
Middle East,Asia,,2011-01,103
Malaysia,Asia,Southeast Asia,2011-01,11076
Singapore,Asia,Southeast Asia,2011-01,8233
India,Asia,,2011-01,78
Philippines,Asia,Southeast Asia,2011-01,946
Thailand,Asia,Southeast Asia,2011-01,877
"Others, Southeast Asia",Asia,Southeast Asia,2011-01,178
"Others, Asia",Asia,,2011-01,131
Canada,America,,2011-01,2589
United States of America,America,,2011-01,7087
Mexico,America,,2011-01,48
Indonesia,Asia,Southeast Asia,2011-01,931
"Others, Southeast Asia",Asia,Southeast Asia,2011-02,646
Brazil,America,,2011-02,37
Mexico,America,,2011-02,39
United States of America,America,,2011-02,7029
Canada,America,,2011-02,2522
"Others, Asia",Asia,,2011-02,184
Thailand,Asia,Southeast Asia,2011-02,1388
Japan,Asia,,2011-02,74385
Indonesia,Asia,Southeast Asia,2011-02,1042
Singapore,Asia,Southeast Asia,2011-02,9293
Malaysia,Asia,Southeast Asia,2011-02,14833
Middle East,Asia,,2011-02,101
India,Asia,,2011-02,45
"Korea,Republic of",Asia,,2011-02,14118
Argentina,America,,2011-02,7
Philippines,Asia,Southeast Asia,2011-02,1314
"Others, America",America,,2011-02,129
Austria,Europe,,2011-02,185
France,Europe,,2011-02,448
Mainland China,Asia,,2011-02,85178
Unstated,,,2011-02,3
S. Africa,Africa,,2011-02,42
"Others, Oceania",Oceania,,2011-02,5
New Zealand,Oceania,,2011-02,179
Australia,Oceania,,2011-02,2497
"Others, Europe",Europe,,2011-02,582
Belgium,Europe,,2011-02,47
Russian Federation,Europe,,2011-02,46
Greece,Europe,,2011-02,8
United Kingdom,Europe,,2011-02,1676
Spain,Europe,,2011-02,61
Switzerland,Europe,,2011-02,120
Netherlands,Europe,,2011-02,238
Italy,Europe,,2011-02,96
Germany,Europe,,2011-02,1242
Sweden,Europe,,2011-02,101
HongKong. Macao,Asia,,2011-02,39948
"Others, Africa",Africa,,2011-02,7
Unstated,,,2011-03,2
Mexico,America,,2011-03,57
United States of America,America,,2011-03,8875
Canada,America,,2011-03,2934
"Others, Asia",Asia,,2011-03,212
"Others, Southeast Asia",Asia,Southeast Asia,2011-03,564
Thailand,Asia,Southeast Asia,2011-03,2704
Philippines,Asia,Southeast Asia,2011-03,1639
Indonesia,Asia,Southeast Asia,2011-03,3429
Singapore,Asia,Southeast Asia,2011-03,16315
Malaysia,Asia,Southeast Asia,2011-03,23506
Middle East,Asia,,2011-03,100
India,Asia,,2011-03,91
"Korea,Republic of",Asia,,2011-03,9687
Japan,Asia,,2011-03,80112
Mainland China,Asia,,2011-03,122200
Brazil,America,,2011-03,77
Argentina,America,,2011-03,14
HongKong. Macao,Asia,,2011-03,37678
Belgium,Europe,,2011-03,127
"Others, America",America,,2011-03,67
S. Africa,Africa,,2011-03,56
"Others, Oceania",Oceania,,2011-03,8
New Zealand,Oceania,,2011-03,196
Australia,Oceania,,2011-03,1829
"Others, Europe",Europe,,2011-03,575
Russian Federation,Europe,,2011-03,72
Sweden,Europe,,2011-03,141
"Others, Africa",Africa,,2011-03,17
Austria,Europe,,2011-03,370
United Kingdom,Europe,,2011-03,1165
Spain,Europe,,2011-03,96
Switzerland,Europe,,2011-03,125
Netherlands,Europe,,2011-03,267
Italy,Europe,,2011-03,114
Germany,Europe,,2011-03,837
Greece,Europe,,2011-03,2
France,Europe,,2011-03,492
Spain,Europe,,2011-04,143
United Kingdom,Europe,,2011-04,1502
Austria,Europe,,2011-04,219
Greece,Europe,,2011-04,14
Sweden,Europe,,2011-04,162
Russian Federation,Europe,,2011-04,55
"Others, Oceania",Oceania,,2011-04,3
Australia,Oceania,,2011-04,2955
New Zealand,Oceania,,2011-04,253
Switzerland,Europe,,2011-04,159
S. Africa,Africa,,2011-04,41
"Others, Africa",Africa,,2011-04,16
Unstated,,,2011-04,17
Japan,Asia,,2011-04,55444
Mainland China,Asia,,2011-04,158742
"Others, Europe",Europe,,2011-04,793
Netherlands,Europe,,2011-04,271
Belgium,Europe,,2011-04,159
Germany,Europe,,2011-04,998
HongKong. Macao,Asia,,2011-04,62408
Middle East,Asia,,2011-04,92
Malaysia,Asia,Southeast Asia,2011-04,19628
Singapore,Asia,Southeast Asia,2011-04,15880
Indonesia,Asia,Southeast Asia,2011-04,1747
Philippines,Asia,Southeast Asia,2011-04,2886
Thailand,Asia,Southeast Asia,2011-04,3481
"Others, Southeast Asia",Asia,Southeast Asia,2011-04,582
"Others, Asia",Asia,,2011-04,110
Canada,America,,2011-04,2461
Mexico,America,,2011-04,47
Brazil,America,,2011-04,75
Argentina,America,,2011-04,18
"Others, America",America,,2011-04,79
France,Europe,,2011-04,576
Italy,Europe,,2011-04,112
United States of America,America,,2011-04,9165
"Korea,Republic of",Asia,,2011-04,9482
India,Asia,,2011-04,109
Middle East,Asia,,2011-05,94
Belgium,Europe,,2011-05,73
"Others, America",America,,2011-05,71
Argentina,America,,2011-05,30
Brazil,America,,2011-05,61
Mexico,America,,2011-05,43
United States of America,America,,2011-05,7235
Canada,America,,2011-05,2219
"Others, Asia",Asia,,2011-05,127
"Others, Southeast Asia",Asia,Southeast Asia,2011-05,414
Thailand,Asia,Southeast Asia,2011-05,1788
Philippines,Asia,Southeast Asia,2011-05,1731
Indonesia,Asia,Southeast Asia,2011-05,1337
Singapore,Asia,Southeast Asia,2011-05,15211
France,Europe,,2011-05,532
Germany,Europe,,2011-05,882
Italy,Europe,,2011-05,162
Netherlands,Europe,,2011-05,247
Unstated,,,2011-05,9
"Others, Africa",Africa,,2011-05,14
S. Africa,Africa,,2011-05,59
"Others, Oceania",Oceania,,2011-05,10
New Zealand,Oceania,,2011-05,170
Australia,Oceania,,2011-05,1391
Malaysia,Asia,Southeast Asia,2011-05,18335
"Others, Europe",Europe,,2011-05,498
Sweden,Europe,,2011-05,80
Greece,Europe,,2011-05,3
Austria,Europe,,2011-05,134
United Kingdom,Europe,,2011-05,948
Spain,Europe,,2011-05,118
Switzerland,Europe,,2011-05,139
Russian Federation,Europe,,2011-05,94
India,Asia,,2011-05,82
"Korea,Republic of",Asia,,2011-05,11514
Japan,Asia,,2011-05,57500
Mainland China,Asia,,2011-05,113292
HongKong. Macao,Asia,,2011-05,37388
S. Africa,Africa,,2011-06,49
Canada,America,,2011-06,1715
"Others, Asia",Asia,,2011-06,93
"Others, Southeast Asia",Asia,Southeast Asia,2011-06,536
Thailand,Asia,Southeast Asia,2011-06,1029
Philippines,Asia,Southeast Asia,2011-06,1399
Indonesia,Asia,Southeast Asia,2011-06,2804
Singapore,Asia,Southeast Asia,2011-06,18700
Middle East,Asia,,2011-06,123
United States of America,America,,2011-06,8469
India,Asia,,2011-06,111
"Korea,Republic of",Asia,,2011-06,10960
Japan,Asia,,2011-06,57731
Mainland China,Asia,,2011-06,76397
HongKong. Macao,Asia,,2011-06,53501
Malaysia,Asia,Southeast Asia,2011-06,15448
"Others, Oceania",Oceania,,2011-06,16
Mexico,America,,2011-06,23
Argentina,America,,2011-06,8
"Others, Africa",Africa,,2011-06,16
New Zealand,Oceania,,2011-06,206
Australia,Oceania,,2011-06,1610
"Others, Europe",Europe,,2011-06,779
Russian Federation,Europe,,2011-06,55
Sweden,Europe,,2011-06,150
Greece,Europe,,2011-06,5
Austria,Europe,,2011-06,76
United Kingdom,Europe,,2011-06,826
