Residence,Region,Sub-Region,Period,Study
Unstated,,,2011-01,0
France,Europe,,2011-01,99
Germany,Europe,,2011-01,62
Italy,Europe,,2011-01,10
Netherlands,Europe,,2011-01,15
Switzerland,Europe,,2011-01,4
Spain,Europe,,2011-01,15
United Kingdom,Europe,,2011-01,22
Belgium,Europe,,2011-01,7
Austria,Europe,,2011-01,10
Sweden,Europe,,2011-01,18
Russian Federation,Europe,,2011-01,18
"Others, Europe",Europe,,2011-01,49
Australia,Oceania,,2011-01,35
New Zealand,Oceania,,2011-01,4
"Others, Oceania",Oceania,,2011-01,6
S. Africa,Africa,,2011-01,6
Greece,Europe,,2011-01,1
"Others, America",America,,2011-01,146
"Others, Africa",Africa,,2011-01,21
Brazil,America,,2011-01,14
Argentina,America,,2011-01,2
HongKong. Macao,Asia,,2011-01,116
Mainland China,Asia,,2011-01,166
Japan,Asia,,2011-01,206
"Korea,Republic of",Asia,,2011-01,311
Middle East,Asia,,2011-01,11
Malaysia,Asia,Southeast Asia,2011-01,113
Singapore,Asia,Southeast Asia,2011-01,51
India,Asia,,2011-01,21
Philippines,Asia,Southeast Asia,2011-01,34
Thailand,Asia,Southeast Asia,2011-01,49
"Others, Southeast Asia",Asia,Southeast Asia,2011-01,64
"Others, Asia",Asia,,2011-01,43
Canada,America,,2011-01,35
United States of America,America,,2011-01,296
Mexico,America,,2011-01,7
Indonesia,Asia,Southeast Asia,2011-01,71
"Others, Southeast Asia",Asia,Southeast Asia,2011-02,1382
Brazil,America,,2011-02,13
Mexico,America,,2011-02,13
United States of America,America,,2011-02,440
Canada,America,,2011-02,101
"Others, Asia",Asia,,2011-02,267
Thailand,Asia,Southeast Asia,2011-02,314
Japan,Asia,,2011-02,764
Indonesia,Asia,Southeast Asia,2011-02,942
Singapore,Asia,Southeast Asia,2011-02,190
Malaysia,Asia,Southeast Asia,2011-02,5617
Middle East,Asia,,2011-02,37
India,Asia,,2011-02,97
"Korea,Republic of",Asia,,2011-02,624
Argentina,America,,2011-02,2
Philippines,Asia,Southeast Asia,2011-02,155
"Others, America",America,,2011-02,299
Austria,Europe,,2011-02,15
France,Europe,,2011-02,243
Mainland China,Asia,,2011-02,1623
Unstated,,,2011-02,1
S. Africa,Africa,,2011-02,11
"Others, Oceania",Oceania,,2011-02,10
New Zealand,Oceania,,2011-02,5
Australia,Oceania,,2011-02,48
"Others, Europe",Europe,,2011-02,202
Belgium,Europe,,2011-02,12
Russian Federation,Europe,,2011-02,73
Greece,Europe,,2011-02,1
United Kingdom,Europe,,2011-02,41
Spain,Europe,,2011-02,33
Switzerland,Europe,,2011-02,18
Netherlands,Europe,,2011-02,38
Italy,Europe,,2011-02,26
Germany,Europe,,2011-02,119
Sweden,Europe,,2011-02,40
HongKong. Macao,Asia,,2011-02,1154
"Others, Africa",Africa,,2011-02,50
Unstated,,,2011-03,1
Mexico,America,,2011-03,12
United States of America,America,,2011-03,304
Canada,America,,2011-03,29
"Others, Asia",Asia,,2011-03,72
"Others, Southeast Asia",Asia,Southeast Asia,2011-03,204
Thailand,Asia,Southeast Asia,2011-03,356
Philippines,Asia,Southeast Asia,2011-03,27
Indonesia,Asia,Southeast Asia,2011-03,109
Singapore,Asia,Southeast Asia,2011-03,54
Malaysia,Asia,Southeast Asia,2011-03,214
Middle East,Asia,,2011-03,14
India,Asia,,2011-03,42
"Korea,Republic of",Asia,,2011-03,171
Japan,Asia,,2011-03,360
Mainland China,Asia,,2011-03,558
Brazil,America,,2011-03,2
Argentina,America,,2011-03,3
HongKong. Macao,Asia,,2011-03,124
Belgium,Europe,,2011-03,7
"Others, America",America,,2011-03,104
S. Africa,Africa,,2011-03,5
"Others, Oceania",Oceania,,2011-03,6
New Zealand,Oceania,,2011-03,13
Australia,Oceania,,2011-03,30
"Others, Europe",Europe,,2011-03,63
Russian Federation,Europe,,2011-03,19
Sweden,Europe,,2011-03,12
"Others, Africa",Africa,,2011-03,15
Austria,Europe,,2011-03,9
United Kingdom,Europe,,2011-03,20
Spain,Europe,,2011-03,10
Switzerland,Europe,,2011-03,7
Netherlands,Europe,,2011-03,9
Italy,Europe,,2011-03,10
Germany,Europe,,2011-03,63
Greece,Europe,,2011-03,0
France,Europe,,2011-03,51
Spain,Europe,,2011-04,28
United Kingdom,Europe,,2011-04,18
Austria,Europe,,2011-04,3
Greece,Europe,,2011-04,0
Sweden,Europe,,2011-04,20
Russian Federation,Europe,,2011-04,6
"Others, Oceania",Oceania,,2011-04,7
Australia,Oceania,,2011-04,55
New Zealand,Oceania,,2011-04,6
Switzerland,Europe,,2011-04,10
S. Africa,Africa,,2011-04,2
"Others, Africa",Africa,,2011-04,17
Unstated,,,2011-04,0
Japan,Asia,,2011-04,227
Mainland China,Asia,,2011-04,116
"Others, Europe",Europe,,2011-04,61
Netherlands,Europe,,2011-04,16
Belgium,Europe,,2011-04,8
Germany,Europe,,2011-04,55
HongKong. Macao,Asia,,2011-04,160
Middle East,Asia,,2011-04,15
Malaysia,Asia,Southeast Asia,2011-04,198
Singapore,Asia,Southeast Asia,2011-04,34
Indonesia,Asia,Southeast Asia,2011-04,99
Philippines,Asia,Southeast Asia,2011-04,216
Thailand,Asia,Southeast Asia,2011-04,204
"Others, Southeast Asia",Asia,Southeast Asia,2011-04,148
"Others, Asia",Asia,,2011-04,38
Canada,America,,2011-04,47
Mexico,America,,2011-04,10
Brazil,America,,2011-04,4
Argentina,America,,2011-04,2
"Others, America",America,,2011-04,58
France,Europe,,2011-04,119
Italy,Europe,,2011-04,7
United States of America,America,,2011-04,247
"Korea,Republic of",Asia,,2011-04,163
India,Asia,,2011-04,20
Middle East,Asia,,2011-05,8
Belgium,Europe,,2011-05,8
"Others, America",America,,2011-05,69
Argentina,America,,2011-05,0
Brazil,America,,2011-05,8
Mexico,America,,2011-05,7
United States of America,America,,2011-05,410
Canada,America,,2011-05,64
"Others, Asia",Asia,,2011-05,29
"Others, Southeast Asia",Asia,Southeast Asia,2011-05,144
Thailand,Asia,Southeast Asia,2011-05,102
Philippines,Asia,Southeast Asia,2011-05,32
Indonesia,Asia,Southeast Asia,2011-05,95
Singapore,Asia,Southeast Asia,2011-05,101
France,Europe,,2011-05,101
Germany,Europe,,2011-05,30
Italy,Europe,,2011-05,5
Netherlands,Europe,,2011-05,20
Unstated,,,2011-05,0
"Others, Africa",Africa,,2011-05,17
S. Africa,Africa,,2011-05,3
"Others, Oceania",Oceania,,2011-05,4
New Zealand,Oceania,,2011-05,3
Australia,Oceania,,2011-05,18
Malaysia,Asia,Southeast Asia,2011-05,238
"Others, Europe",Europe,,2011-05,58
Sweden,Europe,,2011-05,15
Greece,Europe,,2011-05,0
Austria,Europe,,2011-05,6
United Kingdom,Europe,,2011-05,36
Spain,Europe,,2011-05,17
Switzerland,Europe,,2011-05,9
Russian Federation,Europe,,2011-05,27
