Residence,Region,Sub-Region,Period,Visit Relatives
Unstated,,,2011-01,2
France,Europe,,2011-01,474
Germany,Europe,,2011-01,627
Italy,Europe,,2011-01,137
Netherlands,Europe,,2011-01,211
Switzerland,Europe,,2011-01,108
Spain,Europe,,2011-01,102
United Kingdom,Europe,,2011-01,619
Belgium,Europe,,2011-01,61
Austria,Europe,,2011-01,122
Sweden,Europe,,2011-01,95
Russian Federation,Europe,,2011-01,85
"Others, Europe",Europe,,2011-01,301
Australia,Oceania,,2011-01,1607
New Zealand,Oceania,,2011-01,347
"Others, Oceania",Oceania,,2011-01,20
S. Africa,Africa,,2011-01,136
Greece,Europe,,2011-01,9
"Others, America",America,,2011-01,163
"Others, Africa",Africa,,2011-01,52
Brazil,America,,2011-01,125
Argentina,America,,2011-01,24
HongKong. Macao,Asia,,2011-01,2406
Mainland China,Asia,,2011-01,12825
Japan,Asia,,2011-01,4209
"Korea,Republic of",Asia,,2011-01,2306
Middle East,Asia,,2011-01,120
Malaysia,Asia,Southeast Asia,2011-01,1890
Singapore,Asia,Southeast Asia,2011-01,1364
India,Asia,,2011-01,241
Philippines,Asia,Southeast Asia,2011-01,886
Thailand,Asia,Southeast Asia,2011-01,1452
"Others, Southeast Asia",Asia,Southeast Asia,2011-01,1777
"Others, Asia",Asia,,2011-01,542
Canada,America,,2011-01,1579
United States of America,America,,2011-01,10932
Mexico,America,,2011-01,20
Indonesia,Asia,Southeast Asia,2011-01,728
"Others, Southeast Asia",Asia,Southeast Asia,2011-02,3350
Brazil,America,,2011-02,59
Mexico,America,,2011-02,11
United States of America,America,,2011-02,8864
Canada,America,,2011-02,1228
"Others, Asia",Asia,,2011-02,443
Thailand,Asia,Southeast Asia,2011-02,1653
Japan,Asia,,2011-02,4499
Indonesia,Asia,Southeast Asia,2011-02,849
Singapore,Asia,Southeast Asia,2011-02,1221
Malaysia,Asia,Southeast Asia,2011-02,2387
Middle East,Asia,,2011-02,96
India,Asia,,2011-02,308
"Korea,Republic of",Asia,,2011-02,1813
Argentina,America,,2011-02,22
Philippines,Asia,Southeast Asia,2011-02,646
"Others, America",America,,2011-02,108
Austria,Europe,,2011-02,102
France,Europe,,2011-02,489
Mainland China,Asia,,2011-02,11243
Unstated,,,2011-02,6
S. Africa,Africa,,2011-02,155
"Others, Oceania",Oceania,,2011-02,11
New Zealand,Oceania,,2011-02,164
Australia,Oceania,,2011-02,850
"Others, Europe",Europe,,2011-02,289
Belgium,Europe,,2011-02,32
Russian Federation,Europe,,2011-02,56
Greece,Europe,,2011-02,7
United Kingdom,Europe,,2011-02,445
Spain,Europe,,2011-02,46
Switzerland,Europe,,2011-02,89
Netherlands,Europe,,2011-02,133
Italy,Europe,,2011-02,78
Germany,Europe,,2011-02,481
Sweden,Europe,,2011-02,81
HongKong. Macao,Asia,,2011-02,3165
"Others, Africa",Africa,,2011-02,35
Unstated,,,2011-03,8
Mexico,America,,2011-03,16
United States of America,America,,2011-03,10616
Canada,America,,2011-03,1510
"Others, Asia",Asia,,2011-03,326
"Others, Southeast Asia",Asia,Southeast Asia,2011-03,2213
Thailand,Asia,Southeast Asia,2011-03,1018
Philippines,Asia,Southeast Asia,2011-03,534
Indonesia,Asia,Southeast Asia,2011-03,677
Singapore,Asia,Southeast Asia,2011-03,973
Malaysia,Asia,Southeast Asia,2011-03,1373
Middle East,Asia,,2011-03,50
India,Asia,,2011-03,180
"Korea,Republic of",Asia,,2011-03,865
Japan,Asia,,2011-03,4794
Mainland China,Asia,,2011-03,9639
Brazil,America,,2011-03,36
Argentina,America,,2011-03,9
HongKong. Macao,Asia,,2011-03,1996
Belgium,Europe,,2011-03,46
"Others, America",America,,2011-03,71
S. Africa,Africa,,2011-03,74
"Others, Oceania",Oceania,,2011-03,13
New Zealand,Oceania,,2011-03,220
Australia,Oceania,,2011-03,740
"Others, Europe",Europe,,2011-03,156
Russian Federation,Europe,,2011-03,28
Sweden,Europe,,2011-03,56
"Others, Africa",Africa,,2011-03,28
Austria,Europe,,2011-03,83
United Kingdom,Europe,,2011-03,361
Spain,Europe,,2011-03,44
Switzerland,Europe,,2011-03,82
Netherlands,Europe,,2011-03,93
Italy,Europe,,2011-03,72
Germany,Europe,,2011-03,266
Greece,Europe,,2011-03,4
France,Europe,,2011-03,328
Spain,Europe,,2011-04,46
United Kingdom,Europe,,2011-04,657
Austria,Europe,,2011-04,55
Greece,Europe,,2011-04,7
Sweden,Europe,,2011-04,87
Russian Federation,Europe,,2011-04,29
"Others, Oceania",Oceania,,2011-04,3
Australia,Oceania,,2011-04,1047
New Zealand,Oceania,,2011-04,244
Switzerland,Europe,,2011-04,108
S. Africa,Africa,,2011-04,100
"Others, Africa",Africa,,2011-04,32
Unstated,,,2011-04,12
Japan,Asia,,2011-04,3443
Mainland China,Asia,,2011-04,8939
"Others, Europe",Europe,,2011-04,162
Netherlands,Europe,,2011-04,150
Belgium,Europe,,2011-04,41
Germany,Europe,,2011-04,376
HongKong. Macao,Asia,,2011-04,2696
Middle East,Asia,,2011-04,98
Malaysia,Asia,Southeast Asia,2011-04,1473
Singapore,Asia,Southeast Asia,2011-04,1076
Indonesia,Asia,Southeast Asia,2011-04,783
Philippines,Asia,Southeast Asia,2011-04,941
Thailand,Asia,Southeast Asia,2011-04,1454
"Others, Southeast Asia",Asia,Southeast Asia,2011-04,2016
"Others, Asia",Asia,,2011-04,245
Canada,America,,2011-04,1310
Mexico,America,,2011-04,15
Brazil,America,,2011-04,38
Argentina,America,,2011-04,8
"Others, America",America,,2011-04,102
France,Europe,,2011-04,469
Italy,Europe,,2011-04,66
United States of America,America,,2011-04,11563
"Korea,Republic of",Asia,,2011-04,899
India,Asia,,2011-04,166
Middle East,Asia,,2011-05,65
Belgium,Europe,,2011-05,32
"Others, America",America,,2011-05,75
Argentina,America,,2011-05,5
Brazil,America,,2011-05,55
Mexico,America,,2011-05,13
United States of America,America,,2011-05,11026
Canada,America,,2011-05,1073
"Others, Asia",Asia,,2011-05,169
"Others, Southeast Asia",Asia,Southeast Asia,2011-05,2079
Thailand,Asia,Southeast Asia,2011-05,745
Philippines,Asia,Southeast Asia,2011-05,731
Indonesia,Asia,Southeast Asia,2011-05,715
Singapore,Asia,Southeast Asia,2011-05,1098
France,Europe,,2011-05,297
Germany,Europe,,2011-05,218
Italy,Europe,,2011-05,57
Netherlands,Europe,,2011-05,71
Unstated,,,2011-05,5
"Others, Africa",Africa,,2011-05,41
S. Africa,Africa,,2011-05,60
"Others, Oceania",Oceania,,2011-05,14
New Zealand,Oceania,,2011-05,158
Australia,Oceania,,2011-05,663
Malaysia,Asia,Southeast Asia,2011-05,1469
"Others, Europe",Europe,,2011-05,140
Sweden,Europe,,2011-05,54
Greece,Europe,,2011-05,6
Austria,Europe,,2011-05,49
United Kingdom,Europe,,2011-05,294
Spain,Europe,,2011-05,35
Switzerland,Europe,,2011-05,62
Russian Federation,Europe,,2011-05,30
India,Asia,,2011-05,176
"Korea,Republic of",Asia,,2011-05,879
Japan,Asia,,2011-05,2410
Mainland China,Asia,,2011-05,8513
HongKong. Macao,Asia,,2011-05,1872
S. Africa,Africa,,2011-06,82
Canada,America,,2011-06,1088
"Others, Asia",Asia,,2011-06,199
"Others, Southeast Asia",Asia,Southeast Asia,2011-06,2185
Thailand,Asia,Southeast Asia,2011-06,642
Philippines,Asia,Southeast Asia,2011-06,560
Indonesia,Asia,Southeast Asia,2011-06,1054
Singapore,Asia,Southeast Asia,2011-06,1271
Middle East,Asia,,2011-06,87
United States of America,America,,2011-06,15095
India,Asia,,2011-06,198
"Korea,Republic of",Asia,,2011-06,945
Japan,Asia,,2011-06,2565
Mainland China,Asia,,2011-06,9148
HongKong. Macao,Asia,,2011-06,2601
Malaysia,Asia,Southeast Asia,2011-06,1711
"Others, Oceania",Oceania,,2011-06,11
Mexico,America,,2011-06,14
Argentina,America,,2011-06,12
"Others, Africa",Africa,,2011-06,43
New Zealand,Oceania,,2011-06,176
Australia,Oceania,,2011-06,721
"Others, Europe",Europe,,2011-06,180
Russian Federation,Europe,,2011-06,25
Sweden,Europe,,2011-06,95
Greece,Europe,,2011-06,4
Austria,Europe,,2011-06,55
United Kingdom,Europe,,2011-06,320
Spain,Europe,,2011-06,73
Switzerland,Europe,,2011-06,37
Netherlands,Europe,,2011-06,95
Italy,Europe,,2011-06,84
Germany,Europe,,2011-06,288
France,Europe,,2011-06,404
Belgium,Europe,,2011-06,51
"Others, America",America,,2011-06,72
Brazil,America,,2011-06,30
Unstated,,,2011-06,14
"Others, Europe",Europe,,2011-07,167
Mainland China,Asia,,2011-07,11773
"Others, America",America,,2011-07,97
Argentina,America,,2011-07,11
Brazil,America,,2011-07,68
Mexico,America,,2011-07,20
United States of America,America,,2011-07,13588
Canada,America,,2011-07,1707
Belgium,Europe,,2011-07,61
HongKong. Macao,Asia,,2011-07,2582
Thailand,Asia,Southeast Asia,2011-07,758
Philippines,Asia,Southeast Asia,2011-07,590
Indonesia,Asia,Southeast Asia,2011-07,806
Singapore,Asia,Southeast Asia,2011-07,1006
Malaysia,Asia,Southeast Asia,2011-07,1449
Middle East,Asia,,2011-07,78
"Others, Southeast Asia",Asia,Southeast Asia,2011-07,2381
India,Asia,,2011-07,205
France,Europe,,2011-07,615
Italy,Europe,,2011-07,95
Unstated,,,2011-07,14
"Others, Africa",Africa,,2011-07,49
S. Africa,Africa,,2011-07,77
"Others, Oceania",Oceania,,2011-07,13
New Zealand,Oceania,,2011-07,233
Australia,Oceania,,2011-07,765
Germany,Europe,,2011-07,438
Russian Federation,Europe,,2011-07,24
Greece,Europe,,2011-07,6
Austria,Europe,,2011-07,121
United Kingdom,Europe,,2011-07,506
Spain,Europe,,2011-07,75
Switzerland,Europe,,2011-07,141
Netherlands,Europe,,2011-07,166
Sweden,Europe,,2011-07,69
